x,y,z,S_u,S_v,S_w
0.0,0.35000000000000003,0.05,0.4378881555638617,3.907584025286785,0.7503335282796364
0.0,0.35000000000000003,0.1,0.8649940514702721,3.90119522193135,1.3964072640978582
0.0,0.35000000000000003,0.15000000000000002,1.2708009230788149,3.8833442111271133,1.8449257816006115
0.0,0.35000000000000003,0.2,1.6453164584146955,3.844171817897551,2.0234304380441746
0.0,0.35000000000000003,0.25,1.9793188420521444,3.771665444609084,1.888095237774369
0.0,0.35000000000000003,0.30000000000000004,2.2645838268156484,3.6532251550433794,1.4286657173665245
0.0,0.35000000000000003,0.35000000000000003,2.4940872420401248,3.4773820584467767,0.6700414215793358
0.0,0.35000000000000003,0.4,2.6621779519645803,3.2354888434866513,-0.32966718310568055
0.0,0.35000000000000003,0.45,2.764717005449593,2.9232029978062477,-1.4844293247033542
0.0,0.35000000000000003,0.5,2.7991795506907526,2.5416018461576297,-2.6884239805693126
0.0,0.35000000000000003,0.55,2.7647170054495924,2.0978032702381992,-3.8262207156660053
0.0,0.35000000000000003,0.6000000000000001,2.6621779519645803,1.605013468987924,-4.784019107463521
0.0,0.35000000000000003,0.65,2.4940872420401248,1.0819787519750572,-5.460848034522774
0.0,0.35000000000000003,0.7000000000000001,2.2645838268156484,0.5518766958917891,-5.77862709409796
0.0,0.35000000000000003,0.75,1.9793188420521446,0.04073732462736057,-5.690100892504553
0.0,0.35000000000000003,0.8,1.645316458414696,-0.4244681303598299,-5.183862373420311
0.0,0.35000000000000003,0.8500000000000001,1.270800923078814,-0.817899483076058,-4.285963674501497
0.0,0.35000000000000003,0.9,0.8649940514702724,-1.1168919959330377,-3.057944660259982
0.0,0.35000000000000003,0.9500000000000001,0.437888155563862,-1.3037847548583432,-1.5914578626830145
0.0,0.35000000000000003,1.0,3.4278930632655626e-16,-1.3673636506798392,-1.2572568220025347e-15
0.0,0.4,0.0,0.0,3.7392563889186365,0.0
0.0,0.4,0.05,0.4673999263213402,3.7271817180434867,0.7772458131313051
0.0,0.4,0.1,0.9232909152452282,3.689599665674411,1.4574366906952076
0.0,0.4,0.15000000000000002,1.3564474176089107,3.622631590021655,1.9535345279172516
0.0,0.4,0.2,1.7562036827601815,3.5204440048613415,2.197541648507286
0.0,0.4,0.25,2.1127163847360357,3.376124654889498,2.1476354738318766
0.0,0.4,0.30000000000000004,2.417206997616006,3.182775641039248,1.7927040881409257
0.0,0.4,0.35000000000000003,2.6621779519645803,2.9347063372885254,1.1538278514995859
0.0,0.4,0.4,2.841597249873711,2.628596580398719,0.2825523306739324
0.0,0.4,0.45,2.9510469927703653,2.264501346003748,-0.7438866783322171
0.0,0.4,0.5,2.9878321647415556,1.8465818304904569,-1.8299252926166318
0.0,0.4,0.55,2.951046992770365,1.3834732411120274,-2.87090507302297
0.0,0.4,0.6000000000000001,2.841597249873711,0.8882342065223547,-3.7632770784266603
0.0,0.4,0.65,2.6621779519645803,0.37786319200392504,-4.41477860049704
0.0,0.4,0.7000000000000001,2.417206997616006,-0.12759031174078772,-4.753585408467734
