x,rho,u,p,e
0.8894472362,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8944723618,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8994974874,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9045226131,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9095477387,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9145728643,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9195979899,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9246231156,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9296482412,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9346733668,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9396984925,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9447236181,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9497487437,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9547738693,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9597989950,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9648241206,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9698492462,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9748743719,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9798994975,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9849246231,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9899497487,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.9949748744,0.1250000000,0.0000000000,0.1000000000,2.0000000000
1.0000000000,0.1250000000,0.0000000000,0.1000000000,2.0000000000
